playListName,trackName,composer,milliseconds,bytes,unitPrice,albumTitle,artistName,genreName,mediaTypeName
Music,For Those About To Rock (We Salute You),Angus Young | Malcolm Young | Brian Johnson,343719,11170334,3.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,For Those About To Rock (We Salute You),Angus Young | Malcolm Young | Brian Johnson,343719,11170334,9.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Heavy Metal Classic,For Those About To Rock (We Salute You),Angus Young | Malcolm Young | Brian Johnson,343719,11170334,5.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Music,Put The Finger On You,Angus Young | Malcolm Young | Brian Johnson,205662,6713451,0.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,Put The Finger On You,Angus Young | Malcolm Young | Brian Johnson,205662,6713451,2.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Music,Let's Get It Up,Angus Young | Malcolm Young | Brian Johnson,233926,7636561,4.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,Let's Get It Up,Angus Young | Malcolm Young | Brian Johnson,233926,7636561,0.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Music,Inject The Venom,Angus Young | Malcolm Young | Brian Johnson,210834,6852860,4.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,Inject The Venom,Angus Young | Malcolm Young | Brian Johnson,210834,6852860,5.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Music,Snowballed,Angus Young | Malcolm Young | Brian Johnson,203102,6599424,6.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,Snowballed,Angus Young | Malcolm Young | Brian Johnson,203102,6599424,6.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Music,Evil Walks,Angus Young | Malcolm Young | Brian Johnson,263497,8611245,3.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
More Music,Evil Walks,Angus Young | Malcolm Young | Brian Johnson,263497,8611245,3.99,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
